"dataset, frequency, term",Metric,Chr.B.B,Chr.B.S,Chr.B.M,Chr.B.T,T.FM1,T.FM2,Best
"bitbrains_rnd, H, short",Qloss,0.6242384373189478,0.6232739127758999,0.5848703804625628,0.6044824293941484,473.1432793200086,0.6491299753963601,Chr.B.M
"bitbrains_rnd, H, short",Rank,5.0,2.5,2.5,5.0,9.0,7.5,Chr.B.S
"bitbrains_fast_storage, H, short",MASE,1.06986639292246,1.0800455565050306,1.1053535195920623,1.150450697764316,156.83849134060634,1.0945356432344728,Chr.B.B
"bitbrains_fast_storage, H, short",Qloss,0.7740167749445399,0.5886022184112198,0.5964512232638243,0.5932869223257443,47.14654400190723,0.6885980783673296,Chr.B.S
"bitbrains_fast_storage, H, short",Rank,3.5,2.5,5.5,6.0,9.0,5.0,Chr.B.S
"bitbrains_rnd, 5T, short",MASE,1.7053978288334397,1.720142714300245,1.7404378492556425,1.755341712427715,208.6694395234449,1.769087357695446,Chr.B.B
"bitbrains_rnd, 5T, short",Qloss,0.438258197135412,0.4534715582245561,0.4750920853557221,0.482194618095608,83.29233863570391,0.462596927817591,Chr.B.B
"bitbrains_rnd, 5T, short",Rank,1.5,3.0,5.0,6.5,9.0,6.5,Chr.B.B
"bitbrains_rnd, 5T, medium",MASE,4.449085405528738,4.474498055893038,4.491657957080103,4.5188263963767845,437.8206077658214,4.595706257446789,Chr.B.B
"bitbrains_rnd, 5T, medium",Qloss,0.6048792700384039,0.7920524966939484,0.7155085321605323,0.696743073985904,139.0184498490733,0.7358391157846368,Chr.B.B
"bitbrains_rnd, 5T, medium",Rank,1.5,4.5,4.5,5.0,9.0,7.0,Chr.B.B
"bitbrains_rnd, 5T, long",MASE,3.3973526264266374,3.4134603459450767,3.4434481033769333,3.488428192201006,393.7439609711857,3.6038698991648057,Chr.B.B
"bitbrains_rnd, 5T, long",Qloss,0.7561435555360407,0.7561870762623895,0.750146743643032,0.9168330213834812,178.11385445124202,0.7137353295180975,T.FM2
"bitbrains_rnd, 5T, long",Rank,2.5,4.0,4.0,6.5,9.0,5.5,Chr.B.B
"jena_weather, H, short",MASE,0.5358097360731153,0.5404728742619271,0.5481620591675279,0.5490286925424349,226.16965131401932,0.5252187766415325,T.FM2
"jena_weather, H, short",Qloss,0.0422026329717718,0.0425819360479544,0.0423911678021692,0.0422779527133329,10.616743494649745,0.0454525203269757,Chr.B.B
"jena_weather, H, short",Rank,2.5,5.0,5.5,6.0,9.0,3.5,Chr.B.B
"jena_weather, H, medium",MASE,0.747285365968065,0.7205783594224328,0.7289817378385237,0.7893788985046689,185.5961986818622,0.863948168659507,Chr.B.S
"jena_weather, H, medium",Qloss,0.0539970584282659,0.0576193101156902,0.0592920749403813,0.0575947362943805,16.60872481965821,0.0660440451748275,Chr.B.B
"jena_weather, H, medium",Rank,3.5,2.5,4.0,5.0,9.0,7.5,Chr.B.S
"jena_weather, H, long",MASE,1.0280937200516442,1.059731009073823,1.0633554765852962,1.112399348248554,390.7576769118623,1.0567569563708217,Chr.B.B
"jena_weather, H, long",Qloss,0.061638319249669,0.0678386395587772,0.0674215480352322,0.0656204468447958,24.918916448990256,0.06847448328244,Chr.B.B
