,model,dataset,domain,num_variates,prediction_length,frequency,inference_time,time_series_avg_len,num_samples,normalized_inference_time,normalized_time_per_input_output_point,Model,"Dataset, Frequency, Term",dataset_name,term
22,chronos_bolt_base,dominick/short,Sales,1,2,W,173.68659567832947,294.4834123222749,100014,0.0008683114147935762,2.948591935777079e-06,Chr.B.B,"dominick, W, short",dominick,short
23,chronos_bolt_base,ercot/long,Energy,1,720,H,2.4996387720108033,154152.0,8,0.0004339650645852089,2.8151763492216055e-09,Chr.B.B,"ercot, H, long",ercot,long
24,chronos_bolt_base,ercot/medium,Energy,1,480,H,1.6138380289077758,154392.0,8,0.00042027032002806664,2.7220990726725905e-09,Chr.B.B,"ercot, H, medium",ercot,medium
25,chronos_bolt_base,ercot/short,Energy,1,48,H,0.2129924058914184,154824.0,8,0.0005546677236755688,3.582569392830367e-09,Chr.B.B,"ercot, H, short",ercot,short
26,chronos_bolt_base,exchange_rate/long,Econ/Fin,1,120,D,0.16531226634979243,7468.0,8,0.00017220027744770046,2.305841958324859e-08,Chr.B.B,"exchange_rate, D, long",exchange_rate,long
27,chronos_bolt_base,exchange_rate/medium,Econ/Fin,1,80,D,0.1590496778488159,7508.0,8,0.00024851512163877483,3.310004283947454e-08,Chr.B.B,"exchange_rate, D, medium",exchange_rate,medium
28,chronos_bolt_base,exchange_rate/short,Econ/Fin,1,8,D,0.21123049259185786,7580.0,8,0.003300476446747779,4.3541905629917927e-07,Chr.B.B,"exchange_rate, D, short",exchange_rate,short
29,chronos_bolt_base,jena_weather/10T/long,Nature,21,720,10T,17.094976091384886,49464.0,8,0.0029678777936432096,6.000076406362626e-08,Chr.B.B,"jena_weather, 10T, long",jena_weather,long
30,chronos_bolt_base,jena_weather/10T/medium,Nature,21,480,10T,14.928117489814758,49824.0,11,0.002827294979131583,5.674564425039304e-08,Chr.B.B,"jena_weather, 10T, medium",jena_weather,medium
31,chronos_bolt_base,jena_weather/10T/short,Nature,21,48,10T,3.916938138008118,52200.0,20,0.004080143893758456,7.816367612564093e-08,Chr.B.B,"jena_weather, 10T, short",jena_weather,short
32,chronos_bolt_base,jena_weather/D/short,Nature,21,30,D,0.11368262767791745,321.0,2,0.0018947104612986243,5.902524801553347e-06,Chr.B.B,"jena_weather, D, short",jena_weather,short
33,chronos_bolt_base,jena_weather/H/long,Nature,21,720,H,4.432616710662842,7704.0,2,0.003078206049071418,3.9955945600615496e-07,Chr.B.B,"jena_weather, H, long",jena_weather,long
34,chronos_bolt_base,jena_weather/H/medium,Nature,21,480,H,2.975106382369995,8064.0,2,0.003099069148302078,3.8430917017634896e-07,Chr.B.B,"jena_weather, H, medium",jena_weather,medium
35,chronos_bolt_base,jena_weather/H/short,Nature,21,48,H,3.4575326681137084,8304.0,19,0.0037911542413527504,4.5654554929585145e-07,Chr.B.B,"jena_weather, H, short",jena_weather,short
36,chronos_bolt_base,solar/10T/long,Energy,1,720,10T,115.34053630828858,49320.0,1096,0.00014616349390243383,2.9635744911280174e-09,Chr.B.B,"solar, 10T, long",solar,long
37,chronos_bolt_base,solar/10T/medium,Energy,1,480,10T,107.87191586494446,49680.0,1507,0.00014912618317980598,3.001734766099154e-09,Chr.B.B,"solar, 10T, medium",solar,medium
38,chronos_bolt_base,solar/10T/short,Energy,1,48,10T,24.411923217773438,52056.0,2740,0.0001856137714246764,3.5656556674480632e-09,Chr.B.B,"solar, 10T, short",solar,short
39,chronos_bolt_base,solar/D/short,Energy,1,30,D,0.5960438251495361,320.0,274,7.251141425176838e-05,2.265981695367762e-07,Chr.B.B,"solar, D, short",solar,short
40,chronos_bolt_base,solar/H/long,Energy,1,720,H,27.84790198802948,7680.0,274,0.00014115927609503995,1.8380114074874993e-08,Chr.B.B,"solar, H, long",solar,long
41,chronos_bolt_base,solar/H/medium,Energy,1,480,H,18.635122609138488,8040.0,274,0.00014169040913274397,1.762318521551542e-08,Chr.B.B,"solar, H, medium",solar,medium
42,chronos_bolt_base,solar/H/short,Energy,1,48,H,22.559066677093504,8280.0,2603,0.00018055342134951262,2.180596876201843e-08,Chr.B.B,"solar, H, short",solar,short
43,chronos_bolt_base,solar/W/short,Energy,1,8,W,0.23463358879089352,44.0,137,0.0002140817415975306,4.865494127216604e-06,Chr.B.B,"solar, W, short",solar,short
44,chronos_bolt_mini,bitbrains_fast_storage/5T/long,Web/CloudOps,2,720,5T,63.62177138328552,7560.0,2500,3.5345428546269734e-05,4.675321236279065e-09,Chr.B.M,"bitbrains_fast_storage, 5T, long",bitbrains_fast_storage,long
